numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20160921090000;101950;80;2;120;1.900000;288.250000;286.250000;88;9000;1;0;0;10;1;mq;30;23;10;101090;mq;mq;-30;mq;mq;mq;mq;285.350000;mq;mq;3.000000;3.000000;-10;1;0.000000;0.000000;-30;0.000000;0.000000;0.200000;0.400000;0.400000;mq;mq;mq;mq;1;3;3000;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20160921090000;101970;80;3;150;1.300000;289.550000;285.150000;75;10280;0;mq;mq;100;8;2820;mq;mq;mq;101410;mq;mq;-10;mq;mq;mq;mq;284.350000;mq;mq;2.000000;2.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;2820;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20160921090000;101830;40;3;160;2.300000;291.050000;288.450000;85;8000;2;2;mq;90;7;2250;30;25;mq;101570;mq;mq;-250;mq;mq;mq;mq;mq;mq;mq;3.400000;4.900000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;7;3;2100;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20160921090000;101880;70;2;120;2.600000;286.050000;285.850000;99;190;45;mq;mq;101;9;30;mq;mq;mq;101070;mq;mq;-170;mq;mq;mq;mq;281.050000;mq;mq;3.400000;3.500000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;1.400000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20160921090000;101950;90;2;140;1.100000;286.650000;286.150000;97;150;44;4;4;100;8;80;36;mq;mq;100130;mq;mq;-50;mq;mq;mq;mq;284.250000;mq;mq;1.700000;1.700000;-10;mq;0.000000;0.000000;-30;0.000000;0.200000;0.200000;0.200000;0.400000;mq;mq;mq;mq;7;7;60;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20160921090000;101950;80;2;250;0.700000;287.850000;285.550000;86;8880;0;mq;mq;100;8;2700;mq;mq;mq;100820;mq;mq;20;mq;mq;mq;mq;282.250000;mq;mq;1.300000;1.700000;-10;0;0.000000;mq;mq;0.000000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;8;mq;2700;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20160921090000;101720;60;3;190;4.000000;287.850000;286.850000;94;4700;51;mq;mq;100;6;250;mq;mq;mq;100590;mq;mq;-320;mq;mq;mq;mq;280.350000;mq;mq;5.800000;5.800000;-10;2;mq;mq;mq;-0.100000;-0.100000;0.200000;0.200000;0.400000;mq;mq;mq;mq;6;mq;240;6;mq;480;8;mq;1560;mq;mq;mq;
07117;20160921090000;101720;30;1;240;2.400000;290.050000;286.950000;82;8000;1;0;mq;40;1;800;32;26;12;101030;mq;mq;-310;mq;mq;mq;mq;mq;mq;mq;3.600000;4.400000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;8;600;2;3;3000;2;0;5000;mq;mq;mq;
07130;20160921090000;101830;80;1;130;1.800000;291.350000;286.850000;75;14900;0;mq;mq;mq;0;mq;mq;mq;mq;101390;mq;mq;-180;mq;mq;mq;mq;283.450000;mq;mq;3.100000;3.100000;-10;0;0.000000;mq;mq;0.000000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20160921090000;101950;90;3;0;0.000000;286.150000;285.850000;98;160;45;mq;mq;101;9;30;mq;mq;mq;100210;mq;mq;-100;mq;mq;mq;mq;284.750000;mq;mq;0.700000;0.900000;-10;0;mq;mq;mq;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20160921090000;101930;60;2;0;0.000000;289.550000;284.650000;73;14000;2;0;0;0;0;mq;30;20;10;100860;mq;mq;-10;mq;mq;mq;mq;mq;mq;mq;1.100000;1.400000;-10;0;0.000000;0.000000;-30;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
